,chebi,smile
99,CHEBI:129650,C[C@@H]1CN(C(=O)C2=C(C=CC(=C2)NC(=O)NC3=CC=C(C=C3)OC)O[C@@H]1CN(C)CC4=CC5=C(C=C4)OCO5)[C@@H](C)CO
100,CHEBI:1378,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)S[*]
101,CHEBI:15657,C(=C\[C@H](/C=C\CCCCC)OO)\CCCCCCCC(=O)O
102,CHEBI:16352,OC1CN=C(C1)C(O)=O
103,CHEBI:28071,O[C@H]1CO[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](OC(=O)Cc3c[nH]c4ccccc34)[C@@H](O)[C@H]2O)[C@H](O)[C@H]1O
104,CHEBI:28234,O[C@H]1C=CC2=C([C@H]1O)c1ccccc1C2
105,CHEBI:28359,CC1(C)[C@H]2CCC(=C)[C@@H]1C2
106,CHEBI:28502,C1CN=C(Cc2ccccc2)N1
107,CHEBI:30717,F[Mo--]1(F)(F)(F)(=O)OO1
108,CHEBI:110,CC[C@]12CCC[N@@](C1)CCc1c(CC2)[nH]c2ccccc12
109,CHEBI:282,CCCCCC#C\C=C\C=C\CC\C=C\C(=O)NCC(C)C
110,CHEBI:53209,[O-][Ru](=O)(=O)=O.CCC[N+](CCC)(CCC)CCC
111,CHEBI:6478,C[C@@H]1C[C@@H]2OC(=O)C(=C)[C@H]2[C@@H](OC(C)=O)[C@@]2(C)[C@H]1C=CC2=O
112,CHEBI:10582,CO[C@H]1C[C@H](O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C2=CC(=O)OC2)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
113,CHEBI:1394,OC(=O)[C@@]1(O)C[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](C1)OC(=O)c1cc(O)c(O)c(O)c1
114,CHEBI:16080,NCC(O)CC(O)=O
115,CHEBI:166358,O=C(N[C@H](C(=O)N[C@@H](CCC(=O)N)C(O)=O)CO)[C@@H](N)C(C)C
116,CHEBI:16725,CC(C)c1ccc(C(O)=O)c(O)c1O
117,CHEBI:17038,[H][C@@]12CCC3=C(CC[C@]4(C)[C@]([H])(CC[C@@]34[H])[C@H](C)CCC(=C)C(C)C)[C@@]1(C)CC[C@H](O)C2
118,CHEBI:17784,N[C@H]([C@@H](O)[C@H](O)[C@H](O)CO)C(O)=O
119,CHEBI:27404,Oc1cc2cc[nH]c2cc1O
120,CHEBI:27446,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COc1ccccc1)C(O)=O
121,CHEBI:29648,CN([C@@H](CCCN)C(=O)Nc1ccc2ccccc2c1)C(=O)[C@@H](N)Cc1ccccc1
122,CHEBI:36968,[SeH]C([SeH])=[Se]
123,CHEBI:7062,OC(NC(CCCCNC(=O)c1cccc(O)c1O)CNC(=O)c1cccc(O)c1O)c1cccc(O)c1O
124,CHEBI:7642,Oc1cc(O)c2c(oc(cc2=O)-c2ccccc2)c1O
125,CHEBI:130121,C[C@H]1[C@H](CN(C(=O)C2=C(C=CC(=C2)C#N)OCC[C@@H]3CC[C@@H]([C@@H](O3)CN(C1=O)C)OC)C)OC
126,CHEBI:160,O[C@@H]([C@H](CC(O)=O)C(O)=O)C(O)=O
127,CHEBI:6427,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1
128,CHEBI:78496,CC[C@H](C)[C@H](N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC(C)C)C(N)=O
129,CHEBI:2212,COc1cc(O)c2C(=O)O[C@H](C)Cc2c1
130,CHEBI:2724,C=CC[C@@H]1NC[C@H]2C[C@H]1CN1[C@@H]2CCCC1=O
131,CHEBI:28996,CC1(C)C2CC1C(=C)C(=O)C2
132,CHEBI:78734,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)c1ccccc1
133,CHEBI:29001,CC(=C)[C@H](CCC(C)=O)CC([O-])=O
134,CHEBI:15448,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC1(O)CCCCC1
135,CHEBI:16752,NC[C@@H](CC[C@H](N)C(O)=O)OP(O)(O)=O
136,CHEBI:20,CC1(C)[C@@H]2CC[C@@H](C2)C1=C
137,CHEBI:102152,C[C@@H]1CN(C(=O)C2=C(C3=CC=CC=C3CO[C@H]1CN(C)C(=O)OCC(C)C)C4=CC=CC=C4N2C)[C@H](C)CO
138,CHEBI:1110,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\Cc1ccccc1O
139,CHEBI:15618,C\C=C1\[C@@H](C)C(=O)N\C\1=C/C1=N/C(=C\c2[nH]c(C[C@H]3NC(=O)C(C=C)=C3C)c(C)c2CCC(O)=O)/C(CCC(O)=O)=C1C
140,CHEBI:27967,[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])[C@@H](O)C[C@]1(C)C(=O)CC[C@@]21[H]
141,CHEBI:28770,Oc1ccc(CC2NCCc3cc(O)c(O)cc23)cc1O
142,CHEBI:32796,O[C@H](CCC(O)=O)C(O)=O
143,CHEBI:15885,N[C@@H](CC(Cl)=C)C(O)=O
144,CHEBI:27633,Oc1cc(Cl)c(O)c(Cl)c1
145,CHEBI:3190,COC(=O)[C@]12OC[C@@]34[C@H]1[C@@H](OC(C)=O)C(=O)O[C@@H]3C[C@H]1C(C)=C(O)C(=O)C[C@]1(C)[C@H]4[C@@H](O)[C@@H]2O
146,CHEBI:598,OCC(CO[*])OC([*])=O
147,CHEBI:27743,[*]SC(=O)C=C=C
148,CHEBI:28138,C[C@@H](NC(=O)[C@@H](C)NC(=O)[C@H](CCC[C@@H](N)C(O)=O)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@@H]1[C@@H](NC(C)=O)[C@@H](OP(O)(=O)OP(O)(=O)OC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)O[C@H](CO)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O)C(O)=O)C(O)=O
149,CHEBI:5822,C[C@]12CCC[C@@]3(C)[C@H]1[C@H](OC2=O)C=C1C[C@@](C)(CCOS([O-])(=O)=O)CC[C@]31O
150,CHEBI:75308,[H][C@@]12CCC3=CC(=O)CC[C@]3(C=O)[C@@]1([H])CC[C@]1(C)[C@@H](O)CC[C@@]21[H]
151,CHEBI:15696,CC(=O)N[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](CO)OC1OP(O)(=O)OP(O)(=O)OC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C
152,CHEBI:16850,[H][C@@]12CC[C@@]3(C)CCC(=O)C(C)=C3[C@@]1([H])OC(=O)[C@H]2C
153,CHEBI:2030,NC(=O)c1nc[nH]c1N
154,CHEBI:105046,COC1=CC=CC(=C1)C(=O)NC2=CC3=C(C=C2Br)OCCCO3
155,CHEBI:15950,COc1cc2CCN[C@@H](Cc3ccc(O)cc3)c2cc1O
156,CHEBI:185462,O1C(CC(=O)C=2C1=CC(O)=CC2O)C3=C(CC=C(C)C)C(O)=C(O)C=C3
157,CHEBI:30796,O[C@H](CC(O)=O)C(O)=O
158,CHEBI:100743,CN(C)C1=CC2=C(C=C1)O[C@H]3[C@@H]2C[C@@H](O[C@H]3CO)CC(=O)NCC4CC4
159,CHEBI:1040,Oc1nc(O)nc(Cl)n1
160,CHEBI:27722,[H][C@@]1(CC[C@@]2([H])[C@]3([H])COC(=O)[C@@]4([H])C[C@H](O)[C@H](O)C[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)[C@@H](O)[C@H](O)[C@H](C)C(C)C
161,CHEBI:4286,OS(=O)(=O)c1cc(ccc1\C=C\c1ccc(cc1S(O)(=O)=O)N=C=S)N=C=S
162,CHEBI:242,CC(CC[C@@H](CO)C(C)=C)C(O)=O
163,CHEBI:17065,Nc1ccn([C@@H]2O[C@@H]3COP(O)(=O)O[C@H]3[C@H]2O)c(=O)n1
164,CHEBI:17546,CC(C)C(=C)C\C=C(\C)C=O
165,CHEBI:5640,CC(C)(O)C1Cc2cc3cc(c(=O)oc3cc2O1)C(C)(C)C=C
166,CHEBI:10112,CC(N(O)C(N)=O)c1cc2ccccc2s1
167,CHEBI:16074,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@]([H])(CC[C@@]34[H])[C@H](C)CCCC(C)C)[C@@]1(C)CCC(=O)C2
168,CHEBI:16770,C[C@H](NCCC[C@H](N)C(O)=O)C(O)=O
169,CHEBI:17330,OC(=O)CC(=O)S[*]
170,CHEBI:18298,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1(O)C(C)C(=O)c2ccccc2C1=O
171,CHEBI:20384,C[C@](O)(C[C@H](N)C(O)=O)C(O)=O
172,CHEBI:6690,CNCCCC12CCC(c3ccccc13)c1ccccc21
173,CHEBI:67246,COc1cc(C[C@H]2CO[C@@H]([C@H]2CO)c2ccc(O)c(OC)c2)ccc1O
174,CHEBI:7020,CC[C@H](C)C(=O)c1c(O)cc(O)cc1O
175,CHEBI:8036,C[C@@]12CC[C@]3([C@@H](C1)C1=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]1(C)C[C@@H]23)C(O)=O
176,CHEBI:9424,C[C@H]1[C@@H]2CN(C)C[C@H](C)C2=CC1=O
177,CHEBI:28416,C=1NC(=C(CC(=O)O)N1)O
178,CHEBI:15386,O[C@H]1C=Cc2ccc3ccccc3c2[C@H]1O
179,CHEBI:16599,[H][C@]1(O[C@@](C[C@H](O)[C@H]1NC(C)=O)(O[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](OC[C@@H](COC([*])=O)OC([*])=O)[C@@H]1O)C(O)=O)[C@H](O)[C@H](O)CO
180,CHEBI:28045,CC1=CC(=O)C(CC(O)=O)C1(C)C
181,CHEBI:28571,COc1cc(CCc2ccc(O)cc2)cc(OC)c1O
182,CHEBI:28602,OC[C@]1(O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O)OP(O)(O)=O
183,CHEBI:3642,OCC(O)COc1ccc(Cl)cc1
184,CHEBI:7036,CC1(C)CC[C@@]2([C@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O[C@@H]6OC[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O
185,CHEBI:7520,CC(=O)c1c(C)cc2cccc(O)c2c1O
186,CHEBI:76085,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)O[C@H](CO)COP([O-])(=O)OCC[N+](C)(C)C
187,CHEBI:95059,CC(C)C1=C2N=C(C=C(N2N=C1)NCC3=CC=CC=C3)NCCCCCCN
188,CHEBI:110792,C[C@H]1CN([C@H](COC2=C(C=C(C=C2)NC(=O)COC)C(=O)N(C[C@H]1OC)C)C)CC3=CC=CC=C3OC
189,CHEBI:117704,C[C@@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C)[C@@H](C)CO)C)CN(C)CC3=CC=CC=C3
190,CHEBI:15470,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1ccc(Cl)cc1Cl
191,CHEBI:17221,CC(C)=CCCC(=C)C=C
192,CHEBI:18375,OP1(=O)OC[C@H]2O[C@@H]([*])[C@H]([*])[C@@H]2O1
193,CHEBI:18417,COc1cc2CCNC(Cc3ccc(O)cc3)c2cc1O
194,CHEBI:21494,CC(=O)ON[*]
195,CHEBI:28632,CCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
196,CHEBI:3369,CC#CC#CC(=O)c1ccccc1
197,CHEBI:3514,[C@]12(N(C(=C(CS1)CSC3=NC(C([N-]N3C)=O)=O)C([O-])=O)C([C@H]2NC(=O)/C(/C4=CSC(=N4)N)=N\OC)=O)[H].[Na+].[Na+].O.[C@]12(N(C(=C(CS1)CSC3=NC(C([N-]N3C)=O)=O)C([O-])=O)C([C@H]2NC(=O)/C(/C4=CSC(=N4)N)=N\OC)=O)[H].[Na+].[Na+].O.O.O.O.O.O
198,CHEBI:636,COc1c(O)cc2oc3cc(O)c4CCC(C)(C)Oc4c3c(=O)c2c1CC=C(C)C
199,CHEBI:67134,C[C@H]1O[C@H](OP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](NC(C)=O)[C@@H](O)[C@@H]1NC(C)=O
200,CHEBI:68991,[H][C@]1(OC(=O)c2c3OCOc3ccc12)[C@]1([H])N(C)CCc2cc3OCOc3cc12
201,CHEBI:72313,N[C@@H](CC(O)=O)C(O)=O.N[C@@H](CC(O)=O)C(O)=O.NCCCC[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](NC(=O)[C@@H]2C[C@H](CN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(OCc3ccccc3)cc2)NC1=O)OC(=O)NCCN)c1ccccc1
