comp_1,comp_2,smile_1,smile_2
CHEBI:69829,CHEBI:2220,CC(C)(O)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12,O[C@@H]1CO[C@@H](OC[C@H]2O[C@@H](O[*])[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O
CHEBI:69829,CHEBI:27825,CC(C)(O)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12,COc1cc(O)c2c(c1)oc(-c1ccc(OC)c(O)c1)c(OC)c2=O
CHEBI:69829,CHEBI:28142,CC(C)(O)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12,OC(O)C(Cl)(Cl)Cl
CHEBI:69829,CHEBI:28708,CC(C)(O)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12,CC(C)c1cccc(O)c1O
CHEBI:69829,CHEBI:34809,CC(C)(O)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12,CC(C)S(=O)(=O)NCC(C)c1ccc(NC(=O)c2ccccc2)cc1
CHEBI:69829,CHEBI:34810,CC(C)(O)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12,[C@@H]1(O[C@H]([C@H](O)[C@H]([C@H]1O)O)O[C@@H]([C@@H]([C@H](CO)O)O)[C@@H](CO)O)CO.O.O
CHEBI:69829,CHEBI:37476,CC(C)(O)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12,O[C@H]1C=Cc2c(ccc3ccccc23)[C@H]1O
CHEBI:69829,CHEBI:48242,CC(C)(O)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12,O=[Cr]O[Cr]=O
CHEBI:69829,CHEBI:69014,CC(C)(O)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12,[H][C@@]12CC[C@H](C)c3c(O)c(O)c(C)c([C@@H](C[C@@H]1C)C=C(C)C)c23
CHEBI:69829,CHEBI:7728,CC(C)(O)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12,CCCCCCCCN
CHEBI:70353,CHEBI:100636,COc1cc(CC=C)c(OC)c2OCOc12,C[C@H]1CN[C@@H](COC2=C(C=C(C=C2)NC(=O)C3=NOC(=C3)C)C(=O)N(C[C@@H]1OC)C)C
CHEBI:70353,CHEBI:124254,COc1cc(CC=C)c(OC)c2OCOc12,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)C3CC3)O[C@H]1CN(C)CC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5N)[C@H](C)CO
CHEBI:70353,CHEBI:15398,COc1cc(CC=C)c(OC)c2OCOc12,[H][C@]12CC(=O)[C@](C)(C[C@H]1O)C2(C)C
CHEBI:70353,CHEBI:15667,COc1cc(CC=C)c(OC)c2OCOc12,[H]\C(Cc1ccc(O)cc1)=N\O
CHEBI:70353,CHEBI:15825,COc1cc(CC=C)c(OC)c2OCOc12,CC(C)=CC=O
CHEBI:70353,CHEBI:16286,COc1cc(CC=C)c(OC)c2OCOc12,[H][C@@]1(CC[C@@]2([H])C3=CC[C@@]4([H])[C@](C)(C=O)[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C
CHEBI:70353,CHEBI:166,COc1cc(CC=C)c(OC)c2OCOc12,C[C@H]1CC[C@H](CC1=O)C(C)=C
CHEBI:70353,CHEBI:16712,COc1cc(CC=C)c(OC)c2OCOc12,O[C@H](CS(O)(=O)=O)C(O)=O
CHEBI:70353,CHEBI:180399,COc1cc(CC=C)c(OC)c2OCOc12,O(C1=C(OC)C=CC(=C1)C=C)C
CHEBI:70353,CHEBI:212,COc1cc(CC=C)c(OC)c2OCOc12,CC(=O)CC[C@@H](CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)C(C)=C
CHEBI:70353,CHEBI:2220,COc1cc(CC=C)c(OC)c2OCOc12,O[C@@H]1CO[C@@H](OC[C@H]2O[C@@H](O[*])[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O
CHEBI:70353,CHEBI:27808,COc1cc(CC=C)c(OC)c2OCOc12,[H][C@]12C=C[C@H](OC(C)=O)[C@@H]3Oc4c(OC(C)=O)ccc5C[C@H]1N(C)CC[C@@]23c45
CHEBI:70353,CHEBI:27825,COc1cc(CC=C)c(OC)c2OCOc12,COc1cc(O)c2c(c1)oc(-c1ccc(OC)c(O)c1)c(OC)c2=O
CHEBI:70353,CHEBI:28142,COc1cc(CC=C)c(OC)c2OCOc12,OC(O)C(Cl)(Cl)Cl
CHEBI:70353,CHEBI:34809,COc1cc(CC=C)c(OC)c2OCOc12,CC(C)S(=O)(=O)NCC(C)c1ccc(NC(=O)c2ccccc2)cc1
CHEBI:70353,CHEBI:34810,COc1cc(CC=C)c(OC)c2OCOc12,[C@@H]1(O[C@H]([C@H](O)[C@H]([C@H]1O)O)O[C@@H]([C@@H]([C@H](CO)O)O)[C@@H](CO)O)CO.O.O
CHEBI:70353,CHEBI:37476,COc1cc(CC=C)c(OC)c2OCOc12,O[C@H]1C=Cc2c(ccc3ccccc23)[C@H]1O
CHEBI:70353,CHEBI:48242,COc1cc(CC=C)c(OC)c2OCOc12,O=[Cr]O[Cr]=O
CHEBI:70353,CHEBI:48510,COc1cc(CC=C)c(OC)c2OCOc12,O(S(C(F)(F)F)(=O)=O)*
CHEBI:70353,CHEBI:7728,COc1cc(CC=C)c(OC)c2OCOc12,CCCCCCCCN
