,comp_1,comp_2
506,CHEBI:4995,CHEBI:124254
507,CHEBI:4995,CHEBI:15448
508,CHEBI:4995,CHEBI:15580
509,CHEBI:4995,CHEBI:15825
510,CHEBI:4995,CHEBI:16286
511,CHEBI:4995,CHEBI:166
512,CHEBI:4995,CHEBI:16752
513,CHEBI:4995,CHEBI:17020
514,CHEBI:4995,CHEBI:20
515,CHEBI:4995,CHEBI:212
516,CHEBI:4995,CHEBI:2220
517,CHEBI:4995,CHEBI:27460
518,CHEBI:4995,CHEBI:27808
519,CHEBI:4995,CHEBI:27825
520,CHEBI:4995,CHEBI:28142
521,CHEBI:4995,CHEBI:30718
522,CHEBI:4995,CHEBI:31254
523,CHEBI:4995,CHEBI:3188
524,CHEBI:4995,CHEBI:34809
525,CHEBI:4995,CHEBI:34810
526,CHEBI:4995,CHEBI:37476
527,CHEBI:4995,CHEBI:39750
528,CHEBI:4995,CHEBI:48242
529,CHEBI:4995,CHEBI:48510
530,CHEBI:4995,CHEBI:616
531,CHEBI:4995,CHEBI:7728
532,CHEBI:5829,CHEBI:100636
533,CHEBI:5829,CHEBI:105046
534,CHEBI:5829,CHEBI:124254
535,CHEBI:5829,CHEBI:15825
536,CHEBI:5829,CHEBI:15950
537,CHEBI:5829,CHEBI:16286
538,CHEBI:5829,CHEBI:166
539,CHEBI:5829,CHEBI:16632
540,CHEBI:5829,CHEBI:185462
541,CHEBI:5829,CHEBI:212
542,CHEBI:5829,CHEBI:2220
543,CHEBI:5829,CHEBI:27808
544,CHEBI:5829,CHEBI:27825
545,CHEBI:5829,CHEBI:28142
546,CHEBI:5829,CHEBI:29055
547,CHEBI:5829,CHEBI:30796
548,CHEBI:5829,CHEBI:34809
549,CHEBI:5829,CHEBI:34810
550,CHEBI:5829,CHEBI:37476
551,CHEBI:5829,CHEBI:39750
552,CHEBI:5829,CHEBI:48242
553,CHEBI:5829,CHEBI:48510
554,CHEBI:5829,CHEBI:7728
555,CHEBI:5829,CHEBI:84001
556,CHEBI:44115,CHEBI:100743
557,CHEBI:44115,CHEBI:102152
558,CHEBI:44115,CHEBI:1040
559,CHEBI:44115,CHEBI:124254
560,CHEBI:44115,CHEBI:15825
561,CHEBI:44115,CHEBI:166
562,CHEBI:44115,CHEBI:18400
563,CHEBI:44115,CHEBI:27722
564,CHEBI:44115,CHEBI:27825
565,CHEBI:44115,CHEBI:27967
566,CHEBI:44115,CHEBI:29055
